행정기관,,전체,남성,여성,세대수,세대당인구
제주시,,"491,987","245,763","246,224","224,454",2.19
한림읍,,"20,939","10,801","10,138","10,742",1.95
애월읍,,"37,821","19,391","18,430","17,706",2.14
구좌읍,,"15,359","7,845","7,514","8,058",1.91
조천읍,,"25,778","13,182","12,596","11,987",2.15
한경면,,"9,589","4,791","4,798","5,143",1.86
추자면,,"1,575",859,716,952,1.65
우도면,,"1,610",862,748,864,1.86
일도1동,,"2,193","1,146","1,047","1,333",1.65
일도2동,,"31,568","15,469","16,099","13,423",2.35
이도1동,,"7,652","3,774","3,878","3,958",1.93
이도2동,,"48,704","23,752","24,952","21,417",2.27
삼도1동,,"12,961","6,366","6,595","6,054",2.14
삼도2동,,"7,722","4,015","3,707","4,100",1.88
용담1동,,"6,630","3,463","3,167","3,431",1.93
용담2동,,"13,841","7,018","6,823","6,380",2.17
건입동,,"8,805","4,479","4,326","4,175",2.11
화북동,,"23,378","11,595","11,783","9,674",2.42
삼양동,,"26,352","13,197","13,155","10,234",2.57
봉개동,,"5,263","2,727","2,536","2,435",2.16
아라동,,"39,978","19,604","20,374","17,212",2.32
오라동,,"15,996","8,053","7,943","6,375",2.51
연동,,"42,647","20,981","21,666","22,257",1.92
노형동,,"55,369","27,049","28,320","24,004",2.31
외도동,,"22,583","11,326","11,257","8,994",2.51
이호동,,"4,421","2,306","2,115","1,966",2.25
도두동,,"3,253","1,712","1,541","1,580",2.06
